Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
31/01/2009,-0.060059478,-0.138851244,-0.087566338,-0.072425581,-0.078021979,-0.060656564,-0.087699093,0.003415372,-0.024249789,-0.03371089,-0.047928577,0.001804692,0.004304692,-0.027071201,-0.017616782,0.016283124,0.047556367,0.008118136
28/02/2009,-0.067424099,-0.106499085,-0.099649478,-0.055579129,-0.125685671,-0.050795335,-0.104653142,-0.007448449,-0.02501708,0.023382846,-0.019987379,0.001707817,0.004207817,-0.011259441,-0.015987169,-0.004026215,-0.035565648,-0.018751255
31/03/2009,0.032265436,0.088998753,0.076464452,0.139338464,0.011414534,0.135714255,0.077196421,0.009452056,-0.02467117,0.031663913,-0.03830829,0.001373958,0.003873958,0.028157106,0.013742514,0.040082885,0.035035878,-0.005671698
30/04/2009,0.094801324,0.101386961,0.060772613,0.107493174,0.051596591,0.118111212,0.069633643,0.04366822,-0.016474094,-0.014574581,0.026446316,0.0012099,0.0037099,-0.027035413,0.000317038,0.019789961,0.106493582,0.028092354
31/05/2009,0.041057028,0.014514422,-0.023257761,0.041144995,0.013942281,0.064768832,-0.011099287,-0.00307043,-0.008942894,-0.007000464,0.054219636,0.001065108,0.003565108,-0.057998857,-0.025373512,-0.052150496,0.087323882,0.035159561
30/06/2009,-0.032591747,-0.048415821,-0.025253667,-0.012400148,0.008241283,-0.034423271,-0.023981751,0.00956396,-0.001921578,0.002644523,0.030529573,0.000988542,0.003488542,-0.014917074,0.002075179,-0.005904599,0.03288284,0.024120618
31/07/2009,0.081603245,0.090860578,0.068399414,0.09933591,0.025516833,0.089167218,0.065637408,0.032955613,0.005629424,-0.00742742,0.041598914,0.000739583,0.003239583,0.00609577,0.028648187,0.016368131,0.065334709,0.03332152
31/08/2009,0.074186298,0.091017196,0.046234097,0.018002965,0.060340172,0.019563287,0.062302814,0.048184766,0.008932068,0.021673243,0.040207605,0.000575,0.003075,0.041389042,0.047339088,0.043845345,0.024205031,0.033874279
30/09/2009,0.046140462,0.07236165,0.056359792,0.105990459,-0.008561088,0.101654052,0.055212782,0.024619829,0.018009451,-0.000503531,0.02478764,0.000451567,0.002951567,0.037218525,0.040513483,0.064524581,0.064029407,0.024366535
31/10/2009,-0.018373835,-0.047960843,-0.053789463,-0.030053039,-0.046442961,-0.025833303,-0.048114813,0.000513655,0.024906585,-0.000904516,0.011783537,0.000492708,0.002992708,-0.021886546,-0.013725851,-0.02459068,0.0211697,0.013949485
